id,province,party,title,firstName,lastName,sex,age,occupation,highestEducation,vote,votePercent,rank
740308,74,25,พันตำรวจเอก,ภัคภณ,  เล็กท่าไม้,M,63,รับราชการตำรวจ,ปริญญาโท,595,0.52132,8
740309,74,31,นาย,ศิรสิทธิ์,  สงนุ้ย,M,28,ครู,ปริญญาโท,35068,30.72556,1
270101,27,7,นาง,ดรุณี,  พูนประสิทธิ์,F,53,นักการเมืองท้องถิ่น,ปริญญาโท,20460,18.98805,3
270102,27,29,นาย,กฤษณ,  สุนทรกิจพาณิชย์,M,62,รับราชการ,ปริญญาโท,12242,11.36127,4
270103,27,26,นางสาว,อารีรัตน์,  จันทะสอน,F,29,ธุรกิจส่วนตัว,ต่ำกว่าปริญญาตรี,780,0.72388,6
270104,27,37,นาง,ขวัญเรือน,  เทียนทอง,F,79,นักการเมือง,ปริญญาตรี,42106,39.07677,1
270105,27,25,นาย,สุชาติ,  ตาลไธสง,M,61,ธุรกิจส่วนตัว,ต่ำกว่าปริญญาตรี,354,0.32853,7
270106,27,22,นางสาว,อุทัยรัตน์,  ถาวรยิ่ง,F,53,นักการเมืองท้องถิ่น,ปริญญาตรี,1123,1.04221,5
270107,27,31,นาย,ปฐมพล,  สาระรัตน์,M,38,อิสระ,ปริญญาตรี,23942,22.21954,2
270108,27,61,นางสาว,ชฎาวรรณ,  ทองเปลี่ยน,F,52,อิสระ,ต่ำกว่าปริญญาตรี,84,0.07796,8
270201,27,37,นางสาว,ตรีนุช,  เทียนทอง,F,51,นักการเมือง,ปริญญาโท,47173,45.79725,1
270202,27,29,นาย,ปัญญา,  ชาติปัญญาวุฒิ,M,59,ธุรกิจส่วนตัว,ปริญญาโท,16943,16.44888,3
270203,27,22,นาย,สุทธิรักษ์,  วันเพ็ญ,M,51,เกษตรกร,ปริญญาตรี,1619,1.57178,5
270204,27,31,นาย,ยุทธชัย,  รำไพวรรณ์,M,50,ธุรกิจส่วนตัว,ปริญญาโท,27533,26.73003,2
270205,27,26,นาย,บุญสิน,  จันทะสอน,M,62,ธุรกิจส่วนตัว,ต่ำกว่าปริญญาตรี,262,0.25436,9
270206,27,7,นาย,สมบัติ,  สุริยันต์,M,51,สมาชิกสภาองค์การบริหารส่วนจังหวัดสระแก้ว เขต 2 อำเภอวังน้ำเย็น,ปริญญาโท,2568,2.49311,4
270207,27,44,นางสาว,ทองคำ,  เพิ่มพิมพา,F,57,เกษตรกร,ต่ำกว่าปริญญาตรี,413,0.40096,7
270208,27,25,นางสาว,อัคลีมา,  คลังเพชร,F,54,ธุรกิจส่วนตัว,ปริญญาตรี,357,0.34659,8
270209,27,12,นาย,จรัญ,  ศรีบุญเรือง,M,51,เกษตรกร,ต่ำกว่าปริญญาตรี,194,0.18834,10
270210,27,21,นาย,ดิเรก,  หาญประสพ,M,54,เกษตรกร,ต่ำกว่าปริญญาตรี,76,0.07378,11
270211,27,61,นางสาว,บังอร,  อดุลย์สิทธิ์,F,56,อิสระ,ต่ำกว่าปริญญาตรี,432,0.4194,6
270301,27,29,นาย,สรวงศ์,  เทียนทอง,M,48,ธุรกิจส่วนตัว,ปริญญาโท,53989,49.08626,1
270302,27,26,นาย,ละลวย,  สืบสมบัติสกุล,M,54,รับราชการ,ปริญญาตรี,969,0.88101,5
270303,27,37,นาย,สุรศักดิ์,  ชิงนวรรณ์,M,60,สมาชิกสภาผู้แทนราษฎร จังหวัดสระแก้ว  เขต 3,ปริญญาโท,24066,21.88057,2
270304,27,22,นาย,รัตน์นริศ,  หิรัญธนไชยา,M,61,นักการเมืองท้องถิ่น,ปริญญาเอก,2617,2.37935,4
270305,27,44,นางสาว,พานทิพย์ศิริ,  เพิ่มพิมพา,F,35,ไม่ได้ประกอบอาชีพ,ต่ำกว่าปริญญาตรี,145,0.13183,8
270306,27,25,นาย,กีรติ,  ศิริยามันต์,M,28,ธุรกิจส่วนตัว,ปริญญาตรี,331,0.30094,6
270307,27,31,นาย,ปรมินทร์,  จันทรกาล,M,51,เกษตรกรรม,ต่ำกว่าปริญญาตรี,20811,18.92116,3
270308,27,21,นางสาว,เบ็ญจวรรณ,  เย็นประสพ,F,41,ค้าขาย,ต่ำกว่าปริญญาตรี,132,0.12001,9
270309,27,61,นาย,ประเสริฐ,  เบ็ญจมาท,M,61,อิสระ,ต่ำกว่าปริญญาตรี,200,0.18184,7
190101,19,26,นาย,ปรพล,  อดิเรกสาร,M,48,อดีต ส.ส.สระบุรี 2 สมัย,ปริญญาตรี,9777,9.42961,4
190102,19,37,นางสาว,กัลยา,  รุ่งวิจิตรชัย,F,57,นักการเมือง,ปริญญาโท,9744,9.39779,5
190103,19,21,นาย,สมนึก,  เจริญผล,M,66,"ผู้บริหารโรงงานอุตสาหกรรมสระบุรี, นักธุรกิจ",ปริญญาตรี,455,0.43883,8
190104,19,7,นางสาว,อนุษา,  อินทร์สว่าง,F,35,พนักงานบริษัท,ปริญญาตรี,339,0.32695,9
190105,19,31,นาย,สรพัช,  ศรีปราชญ์,M,29,ธุรกิจส่วนตัว,ปริญญาโท,32444,31.29123,1
190106,19,25,พันตำรวจเอก,นรงค์,  แสวงจิตร์,M,66,รับราชการตำรวจ,ปริญญาโท,893,0.86127,6
190107,19,22,นาง,วราณธร,  อำนาคะ,F,33,สมาชิกสภาจังหวัด,ปริญญาโท,13450,12.97211,3
190108,19,29,นางสาว,ขานิฐาณันท์,  เทียมประเสริฐ,F,37,ธุรกิจส่วนตัว,ปริญญาโท,29074,28.04097,2
190109,19,61,นาย,บัณฑิตย์,  น้อยยาโน,M,58,รับราชการ,ปริญญาโท,496,0.47838,7
190201,19,7,นาย,รังษี,  เสรีชัยใจมุ่ง,M,61,ธุรกิจส่วนตัว,ปริญญาตรี,517,0.47106,5
190202,19,26,นาย,สมพงษ์,  ภูพานเพชร,M,58,เกษตรกร,ปริญญาตรี,986,0.89838,4
190203,19,37,นาย,กฤษดา,  อินทร์พาเพียร,M,60,ธุรกิจส่วนตัว,ปริญญาตรี,460,0.41912,6
190204,19,25,นาย,กิตติ,  นันทปัญญา,M,40,ไม่ระบุ,ปริญญาตรี,335,0.30523,7
190205,19,31,นาย,ทรงวุฒิ,  สารจันทึก,M,51,รับราชการ,ปริญญาโท,29164,26.57239,3
190206,19,29,นาย,อรรถพล,  วงษ์ประยูร,M,55,รองนายก อบจ.สระบุรี,ปริญญาโท,38203,34.80816,1
190207,19,22,นาย,สมบัติ,  อำนาคะ,M,67,สมาชิกสภาผู้แทนราษฎร จังหวัดสระบุรี เขต 2,ปริญญาโท,32412,29.53177,2
190208,19,20,นาย,ปิญะ,  ภาอุดมทรัพย์,M,52,นักธุรกิจ,ปริญญาตรี,220,0.20045,9
190209,19,21,นาย,เรืองยศ,  ทองย้อย,M,55,รับจ้าง,ต่ำกว่าปริญญาตรี,322,0.29339,8
190210,19,59,นาย,บุญมี,  สรรพคุณ,M,62,รับราชการ,ปริญญาตรี,115,0.10478,10
190301,19,37,นางสาว,เกณิกา,  อุ่นจิตร์,F,39,ธุรกิจส่วนตัว,ปริญญาเอก,7431,7.18207,4
190302,19,29,นางสาว,สิริพัชระ,  จึงธีรพานิช,F,30,เจ้าของกิจการ,ปริญญาโท,12754,12.32675,3
190303,19,25,พันตรี,ธนพล,  แจ่มจันทร์,M,66,ข้าราชการบำนาญ,ต่ำกว่าปริญญาตรี,420,0.40593,7
190304,19,26,นางสาว,เบญจวรรณ,  ใสแก้ว,F,26,ธุรกิจส่วนตัว,ต่ำกว่าปริญญาตรี,2050,1.98133,6
190305,19,7,นาย,วัชรพงศ์,  คูวิจิตรสุวรรณ,M,50,ธุรกิจส่วนตัว,ปริญญาเอก,45417,43.89558,1
190306,19,31,นางสาว,นันทิตา,  สงพราหมณ์,F,28,พนักงานบริษัทเอกชน,ปริญญาตรี,27120,26.21151,2
190307,19,22,นาย,ณัฐพล,  ศรีบุญจันทร์,M,32,พนักงานบริษัท,ปริญญาตรี,2542,2.45685,5
190401,19,37,นาย,องอาจ,  วงษ์ประยูร,M,61,สมาชิกสภาผู้แทนราษฎรจังหวัดสระบุรี,ปริญญาโท,29506,28.44253,1
190402,19,31,นาย,พิธาน,  ทรงกัมพล,M,55,บำนาญ,ปริญญาตรี,25209,24.30041,2
190403,19,29,นาย,บุญส่ง,  เกิดหลำ,M,56,ประกอบธุรกิจ,ปริญญาเอก,22713,21.89437,3
190404,19,20,นาย,เหมกร,  พรหมมา,M,33,พนักงานบริษัท นวโลหะไทยจำกัด,ต่ำกว่าปริญญาตรี,747,0.72008,6
190405,19,26,นาย,นันทวัชร,  กี่สง่า,M,34,ทนายความ,ปริญญาตรี,1356,1.30713,5
190406,19,25,นาย,วรพัทธ์,  พาเจริญ,M,70,รับจ้างทั่วไป,ปริญญาตรี,332,0.32003,8
190407,19,7,นางสาว,พวงเพชร,  สว่างแก้ว,F,34,ธุรกิจส่วนตัว,ปริญญาตรี,333,0.321,7
